37	13	U	-3.403139979362691E7	200
transitionprobs	5	33	0.0
transitionprobs	5	34	0.0
transitionprobs	5	35	0.0
transitionprobs	5	36	0.0
transitionprobs	5	37	0.007727566913706758
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.013097163817106955
transitionprobs	6	5	0.0472018218017865
transitionprobs	6	6	0.9383772742702533
transitionprobs	6	7	0.0
transitionprobs	6	8	0.0
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	0.0
transitionprobs	6	13	0.0
transitionprobs	6	14	0.0
transitionprobs	6	15	0.0
transitionprobs	6	16	0.0
transitionprobs	6	17	0.0
transitionprobs	6	18	0.0
transitionprobs	6	19	0.0
transitionprobs	6	20	0.0
transitionprobs	6	21	0.0
transitionprobs	6	22	0.0
transitionprobs	6	23	0.0
transitionprobs	6	24	0.0
transitionprobs	6	25	0.0
transitionprobs	6	26	0.0
transitionprobs	6	27	0.0
transitionprobs	6	28	0.0
transitionprobs	6	29	0.0
transitionprobs	6	30	0.0
transitionprobs	6	31	0.0
transitionprobs	6	32	0.0
transitionprobs	6	33	0.0
transitionprobs	6	34	0.0
transitionprobs	6	35	0.0
transitionprobs	6	36	0.0
transitionprobs	6	37	0.0013237401108533516
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	0.0
transitionprobs	7	6	0.0
transitionprobs	7	7	0.8949978192146002
transitionprobs	7	8	0.09608884754935244
transitionprobs	7	9	0.0018229323686812656
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	0.0
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	0.0
transitionprobs	7	16	0.0
transitionprobs	7	17	0.0
transitionprobs	7	18	0.0
transitionprobs	7	19	0.0
transitionprobs	7	20	0.0
transitionprobs	7	21	0.0
transitionprobs	7	22	0.0
transitionprobs	7	23	0.0
transitionprobs	7	24	0.0
transitionprobs	7	25	0.0
transitionprobs	7	26	0.0
transitionprobs	7	27	0.0
transitionprobs	7	28	0.0
transitionprobs	7	29	0.0
transitionprobs	7	30	0.0
transitionprobs	7	31	0.0
transitionprobs	7	32	0.0
transitionprobs	7	33	0.0
transitionprobs	7	34	0.0
transitionprobs	7	35	0.0
transitionprobs	7	36	0.0
transitionprobs	7	37	0.007090400867366154
transitionprobs	8	1	0.0
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	0.0
transitionprobs	8	7	0.06720992297569678
transitionprobs	8	8	0.8029358477017169
transitionprobs	8	9	0.12463265560173205
transitionprobs	8	10	0.0
transitionprobs	8	11	0.0
transitionprobs	8	12	0.0
transitionprobs	8	13	0.0
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0
transitionprobs	8	16	0.0
transitionprobs	8	17	0.0
transitionprobs	8	18	0.0
transitionprobs	8	19	0.0
